row,SID,ip,firstName,# Users,Trials per user,domain,experimentName,levelName,Numberline,currentLevelNo,totalTrials,currentMode,currentQuestion,Opportunity Count,Temp(Opp),answerByUser,answerDec,Hit Rate,hitType,currentTrialStartTime,currentTrialEndTime,currentAccuracy,avgAccuracy,curReactionTime,totalTime,itemsPlayed,timeLimit,avgTime,bestTime,currentStarCount,totalStarCount,score,fireType,sound,verInfo
1016042,66,170.185.142.19 ,6208,0,120,fraction,Condition-2,uclafrac6_0_2,0-2,12,4,sub,3/2,1,3/2user62080-2,(615.3 # 493.2),1.2462,0,Miss!!,Wed Sep 21 17:06:17 2011 UTC,Wed Sep 21 17:06:21 2011 UTC,87.31,94.08,4.299,543.268 Secs,47,60,3.75,2.664,1,69,0,CLICK,ON,BSNL v2.1 UCLA
1016061,66,170.185.142.19 ,6208,0,120,fraction,Condition-2,uclafrac6_0_2,0-2,12,4,sub,9/10,1,9/10user62080-2,(459.85 # 509.85),0.8787,1,Perfect Hit!!,Wed Sep 21 17:06:26 2011 UTC,Wed Sep 21 17:06:31 2011 UTC,98.94,95.3,4.625,552.732 Secs,48,60,3.96875,2.664,2,71,0,CLICK,ON,BSNL v2.1 UCLA
1016083,66,170.185.142.19 ,6208,0,120,whole,Condition-2,uclawhole7_0_100,0-100,13,4,sub,48,1,48user62080-100,(490.4 # 524.65),47.5854,1,Perfect Hit!!,Wed Sep 21 17:06:41 2011 UTC,Wed Sep 21 17:06:44 2011 UTC,99.59,99.59,2.551,566.086 Secs,49,60,2.551,2.551,1,74,0,CLICK,ON,BSNL v2.1 UCLA
1016096,66,170.185.142.19 ,6208,0,120,whole,Condition-2,uclawhole7_0_100,0-100,13,4,sub,28,1,28user62080-100,(330.3 # 516.3),28.7397,1,Perfect Hit!!,Wed Sep 21 17:06:49 2011 UTC,Wed Sep 21 17:06:51 2011 UTC,99.26,99.43,1.938,572.807 Secs,50,60,2.2445,1.938,2,76,0,CLICK,ON,BSNL v2.1 UCLA
1016110,66,170.185.142.19 ,6208,0,120,whole,Condition-2,uclawhole7_0_100,0-100,13,4,sub,8,1,8user62080-100,(176.7 # 508.9),10.6007,1,Perfect Hit!!,Wed Sep 21 17:06:56 2011 UTC,Wed Sep 21 17:06:58 2011 UTC,97.4,98.75,2.396,579.998 Secs,51,60,2.295,1.938,3,79,0,CLICK,ON,BSNL v2.1 UCLA
1016131,66,170.185.142.19 ,6208,0,120,whole,Condition-2,uclawhole7_0_100,0-100,13,4,sub,88,1,88user62080-100,(783.7 # 517.25),82.0966,0,Near Miss!!,Wed Sep 21 17:07:03 2011 UTC,Wed Sep 21 17:07:08 2011 UTC,94.1,97.59,5.666,590.436 Secs,52,60,3.13775,1.938,3,82,0,CLICK,ON,BSNL v2.1 UCLA
1016157,66,170.185.142.19 ,6208,0,120,fraction,Condition-2,uclafrac7_0_2,0-2,14,4,sub,8/4,1,8/4user62080-2,(935.45 # 502.45),2,1,Perfect Hit!!,Wed Sep 21 17:07:19 2011 UTC,Wed Sep 21 17:07:26 2011 UTC,100,100,7.018,608.254 Secs,53,60,7.018,7.018,1,86,0,CLICK,ON,BSNL v2.1 UCLA
1016183,66,170.185.142.19 ,6208,0,120,fraction,Condition-2,uclafrac7_0_2,0-2,14,4,sub,4/4,1,4/4user62080-2,(502.4 # 529.25),0.98,1,Perfect Hit!!,Wed Sep 21 17:07:31 2011 UTC,Wed Sep 21 17:07:39 2011 UTC,99,99.5,7.707,620.777 Secs,54,60,7.3625,7.018,2,88,0,CLICK,ON,BSNL v2.1 UCLA
1016201,66,170.185.142.19 ,6208,0,120,fraction,Condition-2,uclafrac7_0_2,0-2,14,4,sub,5/4,1,5/4user62080-2,(600.5 # 524.65),1.2108,1,Perfect Hit!!,Wed Sep 21 17:07:44 2011 UTC,Wed Sep 21 17:07:51 2011 UTC,98.04,99.01,7.397,632.967 Secs,55,60,7.374,7.018,3,91,0,CLICK,ON,BSNL v2.1 UCLA
1016219,66,170.185.142.19 ,6208,0,120,fraction,Condition-2,uclafrac7_0_2,0-2,14,4,sub,1/4,1,1/4user62080-2,(202.6 # 517.25),0.2733,1,Perfect Hit!!,Wed Sep 21 17:07:56 2011 UTC,Wed Sep 21 17:07:59 2011 UTC,98.84,98.97,3.494,641.232 Secs,56,60,6.404,3.494,4,95,0,CLICK,ON,BSNL v2.1 UCLA
1016251,66,170.185.142.19 ,6208,0,120,whole,Condition-2,uclawhole8_10_20,10-20,15,4,sub,15,1,15user620810-20,(308.1 # 516.3),12.6148,0,Miss!!,Wed Sep 21 17:08:10 2011 UTC,Wed Sep 21 17:08:15 2011 UTC,76.15,76.15,5.324,657.328 Secs,57,60,5.324,5.324,0,99,0,CLICK,ON,BSNL v2.1 UCLA
1016269,66,170.185.142.19 ,6208,0,120,whole,Condition-2,uclawhole8_10_20,10-20,15,4,sub,12,1,12user620810-20,(215.55 # 508),11.5194,1,Partial Hit!!,Wed Sep 21 17:08:20 2011 UTC,Wed Sep 21 17:08:25 2011 UTC,95.19,85.67,4.671,666.775 Secs,58,60,4.9975,4.671,0,99,0,CLICK,ON,BSNL v2.1 UCLA
1016282,66,170.185.142.19 ,6208,0,120,whole,Condition-2,uclawhole8_10_20,10-20,15,4,sub,17,1,17user620810-20,(598.65 # 473.75),16.0306,0,Miss!!,Wed Sep 21 17:08:30 2011 UTC,Wed Sep 21 17:08:33 2011 UTC,90.31,87.22,3.746,675.35 Secs,59,60,4.580333333,3.746,0,99,0,CLICK,ON,BSNL v2.1 UCLA
1016297,66,170.185.142.19 ,6208,0,120,whole,Condition-2,uclawhole8_10_20,10-20,15,4,sub,19,1,19user620810-20,(908.6 # 508.9),19.682,0,Near Miss!!,Wed Sep 21 17:08:38 2011 UTC,Wed Sep 21 17:08:42 2011 UTC,93.18,88.71,3.918,684.055 Secs,60,60,4.41475,3.746,0,99,0,CLICK,ON,BSNL v2.1 UCLA
1016322,66,170.185.142.19 ,6208,0,120,fraction,Condition-2,uclafrac8_0_2,0-2,16,4,sub,5/3,1,5/3user62080-2,(620.85 # 523.7),1.258,0,Miss!!,Wed Sep 21 17:08:53 2011 UTC,Wed Sep 21 17:08:57 2011 UTC,79.57,79.57,3.895,698.801 Secs,61,60,3.895,3.895,0,99,0,CLICK,ON,BSNL v2.1 UCLA
1016341,66,170.185.142.19 ,6208,0,120,fraction,Condition-2,uclafrac8_0_2,0-2,16,4,sub,6/3,1,6/3user62080-2,(935.45 # 500.6),2,1,Perfect Hit!!,Wed Sep 21 17:09:02 2011 UTC,Wed Sep 21 17:09:06 2011 UTC,100,89.79,4.3,707.906 Secs,62,60,4.0975,3.895,1,100,0,CLICK,ON,BSNL v2.1 UCLA
1016360,66,170.185.142.19 ,6208,0,120,fraction,Condition-2,uclafrac8_0_2,0-2,16,4,sub,3/3,1,3/3user62080-2,(555.15 # 518.15),1.1048,0,Near Miss!!,Wed Sep 21 17:09:11 2011 UTC,Wed Sep 21 17:09:16 2011 UTC,94.76,91.45,5.174,717.912 Secs,63,60,4.456333333,3.895,1,101,0,CLICK,ON,BSNL v2.1 UCLA
1016375,66,170.185.142.19 ,6208,0,120,fraction,Condition-2,uclafrac8_0_2,0-2,16,4,sub,1/3,1,1/3user62080-2,(265.55 # 523.7),0.4217,1,Partial Hit!!,Wed Sep 21 17:09:21 2011 UTC,Wed Sep 21 17:09:25 2011 UTC,95.58,92.48,4.078,726.818 Secs,64,60,4.36175,3.895,1,102,0,CLICK,ON,BSNL v2.1 UCLA
1016398,66,170.185.142.19 ,6208,0,120,whole,Condition-2,uclawhole9_10_50,10-50,17,4,sub,30,1,30user620810-50,(678.2 # 507.05),37.8916,0,Miss!!,Wed Sep 21 17:09:36 2011 UTC,Wed Sep 21 17:09:38 2011 UTC,80.27,80.27,2.842,740.479 Secs,65,60,2.842,2.842,0,103,0,CLICK,ON,BSNL v2.1 UCLA
1016417,66,170.185.142.19 ,6208,0,120,whole,Condition-2,uclawhole9_10_50,10-50,17,4,sub,48,1,48user620810-50,(854.95 # 514.45),46.1837,1,Partial Hit!!,Wed Sep 21 17:09:43 2011 UTC,Wed Sep 21 17:09:49 2011 UTC,95.46,87.87,6.256,751.527 Secs,66,60,4.549,2.842,0,103,0,CLICK,ON,BSNL v2.1 UCLA
1016436,66,170.185.142.19 ,6208,0,120,whole,Condition-2,uclawhole9_10_50,10-50,17,4,sub,15,1,15user620810-50,(266.45 # 518.15),18.4806,0,Miss!!,Wed Sep 21 17:09:54 2011 UTC,Wed Sep 21 17:09:59 2011 UTC,91.3,89.01,4.496,760.834 Secs,67,60,4.531333333,2.842,0,103,0,CLICK,ON,BSNL v2.1 UCLA
1016452,66,170.185.142.19 ,6208,0,120,whole,Condition-2,uclawhole9_10_50,10-50,17,4,sub,25,1,25user620810-50,(540.35 # 516.3),31.3899,0,Miss!!,Wed Sep 21 17:10:04 2011 UTC,Wed Sep 21 17:10:06 2011 UTC,84.03,87.77,2.808,768.447 Secs,68,60,4.1005,2.808,0,103,0,CLICK,ON,BSNL v2.1 UCLA
1016475,66,170.185.142.19 ,6208,0,120,fraction,Condition-2,uclafrac9_0_2,0-2,18,4,sub,5/4,2,5/4user62080-2,(603.25 # 525.55),1.2179,1,Perfect Hit!!,Wed Sep 21 17:10:17 2011 UTC,Wed Sep 21 17:10:21 2011 UTC,98.4,98.4,3.299,782.67 Secs,69,60,3.299,3.299,1,104,0,CLICK,ON,BSNL v2.1 UCLA
1016492,66,170.185.142.19 ,6208,0,120,fraction,Condition-2,uclafrac9_0_2,0-2,18,4,sub,5/5,1,5/5user62080-2,(503.35 # 518.15),0.9823,1,Perfect Hit!!,Wed Sep 21 17:10:25 2011 UTC,Wed Sep 21 17:10:31 2011 UTC,99.12,98.76,5.816,793.289 Secs,70,60,4.5575,3.299,2,106,0,CLICK,ON,BSNL v2.1 UCLA
1016511,66,170.185.142.19 ,6208,0,120,fraction,Condition-2,uclafrac9_0_2,0-2,18,4,sub,5/10,1,5/10user62080-2,(315.5 # 520.95),0.5395,1,Perfect Hit!!,Wed Sep 21 17:10:36 2011 UTC,Wed Sep 21 17:10:41 2011 UTC,98.03,98.52,4.864,802.936 Secs,71,60,4.659666667,3.299,3,109,0,CLICK,ON,BSNL v2.1 UCLA
1016530,66,170.185.142.19 ,6208,0,120,fraction,Condition-2,uclafrac9_0_2,0-2,18,4,sub,10/5,1,10/5user62080-2,(933.6 # 501.5),1.9953,1,Perfect Hit!!,Wed Sep 21 17:10:46 2011 UTC,Wed Sep 21 17:10:52 2011 UTC,99.77,98.83,6.176,813.914 Secs,72,60,5.03875,3.299,4,113,0,CLICK,ON,BSNL v2.1 UCLA
1016555,66,170.185.142.19 ,6208,0,120,whole,Condition-2,uclawhole10_10_100,10-100,19,4,sub,75,1,75user620810-100,(730.05 # 508),78.2686,1,Partial Hit!!,Wed Sep 21 17:11:03 2011 UTC,Wed Sep 21 17:11:06 2011 UTC,96.37,96.37,3.424,828.229 Secs,73,60,3.424,3.424,0,117,0,CLICK,ON,BSNL v2.1 UCLA
1016571,66,170.185.142.19 ,6208,0,120,whole,Condition-2,uclawhole10_10_100,10-100,19,4,sub,15,1,15user620810-100,(297 # 515.4),32.3675,0,Miss!!,Wed Sep 21 17:11:11 2011 UTC,Wed Sep 21 17:11:14 2011 UTC,80.7,88.54,2.877,835.883 Secs,74,60,3.1505,2.877,0,117,0,CLICK,ON,BSNL v2.1 UCLA
1016587,66,170.185.142.19 ,6208,0,120,whole,Condition-2,uclawhole10_10_100,10-100,19,4,sub,30,1,30user620810-100,(439.5 # 510.75),47.4205,0,Miss!!,Wed Sep 21 17:11:19 2011 UTC,Wed Sep 21 17:11:21 2011 UTC,80.64,85.91,2.029,842.736 Secs,75,60,2.776666667,2.029,0,117,0,CLICK,ON,BSNL v2.1 UCLA
1016600,66,170.185.142.19 ,6208,0,120,whole,Condition-2,uclawhole10_10_100,10-100,19,4,sub,95,1,95user620810-100,(885.5 # 502.45),94.6996,1,Perfect Hit!!,Wed Sep 21 17:11:25 2011 UTC,Wed Sep 21 17:11:27 2011 UTC,99.67,89.35,1.939,849.447 Secs,76,60,2.56725,1.939,1,118,0,CLICK,ON,BSNL v2.1 UCLA
1016632,66,170.185.142.19 ,6208,0,120,fraction,Condition-2,uclafrac10_0_2,0-2,20,4,sub,25/25,1,25/25user62080-2,(502.4 # 531.1),0.98,1,Perfect Hit!!,Wed Sep 21 17:11:38 2011 UTC,Wed Sep 21 17:11:46 2011 UTC,99,99,7.346,867.621 Secs,77,60,7.346,7.346,1,120,0,CLICK,ON,BSNL v2.1 UCLA
